env_id,env_args_id,symmetric,seed,num_agents,num_episodes,policy_id,policy_name,policy_version,agent_id,co_team_id,episode_reward_mean,episode_reward_std,num_LOSS,num_DRAW,num_WIN,num_NA
CooperativeReaching-v0,,True,0,2,100,Random-v0,Random,0,0,(H11),0.71,0.3618010503025109,0,0,81,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H11-v0,H11,0,1,(Random),0.71,0.3618010503025109,0,0,81,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H1-v0,H1,0,0,(Random),0.2625,0.3974528273896161,0,0,31,0
CooperativeReaching-v0,,True,0,2,100,Random-v0,Random,0,1,(H1),0.2625,0.3974528273896161,0,0,31,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H1-v0,H1,0,0,(H1),0.135,0.32484611741561575,0,0,15,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H1-v0,H1,0,1,(H1),0.135,0.32484611741561575,0,0,15,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H1-v0,H1,0,0,(H2),0.3075,0.4255217385751284,0,0,35,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H2-v0,H2,0,1,(H1),0.3075,0.4255217385751284,0,0,35,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H1-v0,H1,0,0,(H3),0.28,0.4489988864128729,0,0,28,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H3-v0,H3,0,1,(H1),0.28,0.4489988864128729,0,0,28,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H1-v0,H1,0,0,(H4),0.23,0.4208325082500163,0,0,23,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H4-v0,H4,0,1,(H1),0.23,0.4208325082500163,0,0,23,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H1-v0,H1,0,0,(H5),0.1575,0.30548117781624445,0,0,21,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H5-v0,H5,0,1,(H1),0.1575,0.30548117781624445,0,0,21,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H1-v0,H1,0,0,(H6),0.21,0.3367491648096547,0,0,28,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H6-v0,H6,0,1,(H1),0.21,0.3367491648096547,0,0,28,0
CooperativeReaching-v0,,True,0,2,100,CooperativeReaching-v0/H1-v0,H1,0,0,(H7),0.24,0.3903844259188627,0,0,28,0
