alg,test_pop_id,search_time_limit,planning_pop_id,num_episodes_limit,exp_time_limit,exp_num,env_id,agent_id,num,len,return,discounted_return,time,search_time,update_time,reinvigoration_time,evaluation_time,policy_calls,inference_time,search_depth,num_sims,mem_usage,min_value,max_value,belief_state_acc,belief_state_acc_0,belief_state_acc_1,belief_state_acc_2,belief_state_acc_3,belief_state_acc_4,belief_state_acc_5,belief_state_acc_6,belief_state_acc_7,belief_state_acc_8,belief_state_acc_9,belief_state_acc_10,belief_state_acc_11,belief_state_acc_12,belief_state_acc_13,belief_state_acc_14,belief_state_acc_15,belief_state_acc_16,belief_state_acc_17,belief_state_acc_18,belief_state_acc_19,belief_state_acc_20,belief_state_acc_21,belief_state_acc_22,belief_state_acc_23,belief_state_acc_24,belief_state_acc_25,belief_state_acc_26,belief_state_acc_27,belief_state_acc_28,belief_state_acc_29,belief_state_acc_30,belief_state_acc_31,belief_state_acc_32,belief_state_acc_33,belief_state_acc_34,belief_state_acc_35,belief_state_acc_36,belief_state_acc_37,belief_state_acc_38,belief_state_acc_39,belief_state_acc_40,belief_state_acc_41,belief_state_acc_42,belief_state_acc_43,belief_state_acc_44,belief_state_acc_45,belief_state_acc_46,belief_state_acc_47,belief_state_acc_48,belief_state_acc_49,belief_history_acc,belief_history_acc_0,belief_history_acc_1,belief_history_acc_2,belief_history_acc_3,belief_history_acc_4,belief_history_acc_5,belief_history_acc_6,belief_history_acc_7,belief_history_acc_8,belief_history_acc_9,belief_history_acc_10,belief_history_acc_11,belief_history_acc_12,belief_history_acc_13,belief_history_acc_14,belief_history_acc_15,belief_history_acc_16,belief_history_acc_17,belief_history_acc_18,belief_history_acc_19,belief_history_acc_20,belief_history_acc_21,belief_history_acc_22,belief_history_acc_23,belief_history_acc_24,belief_history_acc_25,belief_history_acc_26,belief_history_acc_27,belief_history_acc_28,belief_history_acc_29,belief_history_acc_30,belief_history_acc_31,belief_history_acc_32,belief_history_acc_33,belief_history_acc_34,belief_history_acc_35,belief_history_acc_36,belief_history_acc_37,belief_history_acc_38,belief_history_acc_39,belief_history_acc_40,belief_history_acc_41,belief_history_acc_42,belief_history_acc_43,belief_history_acc_44,belief_history_acc_45,belief_history_acc_46,belief_history_acc_47,belief_history_acc_48,belief_history_acc_49,belief_action_acc,belief_action_acc_0,belief_action_acc_1,belief_action_acc_2,belief_action_acc_3,belief_action_acc_4,belief_action_acc_5,belief_action_acc_6,belief_action_acc_7,belief_action_acc_8,belief_action_acc_9,belief_action_acc_10,belief_action_acc_11,belief_action_acc_12,belief_action_acc_13,belief_action_acc_14,belief_action_acc_15,belief_action_acc_16,belief_action_acc_17,belief_action_acc_18,belief_action_acc_19,belief_action_acc_20,belief_action_acc_21,belief_action_acc_22,belief_action_acc_23,belief_action_acc_24,belief_action_acc_25,belief_action_acc_26,belief_action_acc_27,belief_action_acc_28,belief_action_acc_29,belief_action_acc_30,belief_action_acc_31,belief_action_acc_32,belief_action_acc_33,belief_action_acc_34,belief_action_acc_35,belief_action_acc_36,belief_action_acc_37,belief_action_acc_38,belief_action_acc_39,belief_action_acc_40,belief_action_acc_41,belief_action_acc_42,belief_action_acc_43,belief_action_acc_44,belief_action_acc_45,belief_action_acc_46,belief_action_acc_47,belief_action_acc_48,belief_action_acc_49,belief_policy_acc,belief_policy_acc_0,belief_policy_acc_1,belief_policy_acc_2,belief_policy_acc_3,belief_policy_acc_4,belief_policy_acc_5,belief_policy_acc_6,belief_policy_acc_7,belief_policy_acc_8,belief_policy_acc_9,belief_policy_acc_10,belief_policy_acc_11,belief_policy_acc_12,belief_policy_acc_13,belief_policy_acc_14,belief_policy_acc_15,belief_policy_acc_16,belief_policy_acc_17,belief_policy_acc_18,belief_policy_acc_19,belief_policy_acc_20,belief_policy_acc_21,belief_policy_acc_22,belief_policy_acc_23,belief_policy_acc_24,belief_policy_acc_25,belief_policy_acc_26,belief_policy_acc_27,belief_policy_acc_28,belief_policy_acc_29,belief_policy_acc_30,belief_policy_acc_31,belief_policy_acc_32,belief_policy_acc_33,belief_policy_acc_34,belief_policy_acc_35,belief_policy_acc_36,belief_policy_acc_37,belief_policy_acc_38,belief_policy_acc_39,belief_policy_acc_40,belief_policy_acc_41,belief_policy_acc_42,belief_policy_acc_43,belief_policy_acc_44,belief_policy_acc_45,belief_policy_acc_46,belief_policy_acc_47,belief_policy_acc_48,belief_policy_acc_49
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,0,5,1.0,0.96059601,6.237944841384888,1.238907194137573,0.0005056858062744,0.0,0.4004639148712158,24758.0,0.0219911575317382,8.4,2354.6,287.0625,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5057794392523365,0.1728971962616822,0.356,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,1,50,0.0,0.0,56.14944314956665,1.0966456651687622,0.0242549419403076,0.0240475416183471,0.1046227169036865,10778.38,0.0131309556961059,6.1,4385.04,288.671875,0.0,1.0,0.06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0311976293594711,0.1915887850467289,0.3682926829268292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,2,3,0.75,0.7350749999999999,3.542356491088867,1.1766576766967771,0.0016270478566487,0.0,0.5045771598815918,29865.33333333333,0.0267511208852132,9.0,2412.333333333333,283.35546875,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4954054195165248,0.2990654205607476,0.1871508379888268,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,3,4,0.75,0.7277242500000001,5.49803900718689,1.3685426712036133,0.0005249381065368,0.0,0.2550206184387207,29540.0,0.0265088081359863,9.25,2440.25,281.6328125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4883124226518158,0.2523364485981308,0.2009132420091324,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,4,3,0.75,0.7350749999999999,4.122744798660278,1.3684232234954834,0.0006858507792154,0.0,0.246552308400472,27967.33333333333,0.0268294016520182,8.333333333333334,2603.0,286.2734375,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5961417024501137,0.2850467289719626,0.5033783783783784,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,5,7,0.75,0.70611011205075,8.509968519210815,1.2056676319667272,0.0073306560516357,0.0068990843636648,0.2818823541913713,20665.85714285714,0.0194935117449079,7.571428571428571,3409.285714285714,286.2734375,0.0,1.0,0.4285714285714285,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0773793629601373,0.3130841121495327,0.2285714285714285,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,6,3,0.75,0.7350749999999999,4.431568384170532,1.472420374552409,0.0007293224334716,0.0,0.9526050885518392,44350.66666666666,0.0366767247517903,9.0,2447.0,286.2734375,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6025026346570314,0.3130841121495327,0.4944237918215613,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,7,5,0.75,0.7204470075,6.563683986663818,1.2998514652252198,0.0004744052886962,0.0,0.3702554702758789,22690.4,0.0219817161560058,8.0,2529.0,288.8515625,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6123746694939658,0.2663551401869158,0.5,0.2955182072829131,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,8,4,0.75,0.7277242500000001,6.2694737911224365,1.559645414352417,0.0013781785964965,0.0007990002632141,0.5594635009765625,39099.5,0.0348739027976989,8.5,2321.5,299.6796875,0.0,1.0,0.9602803738317756,1.0,1.0,0.8411214953271028,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.560086313431683,0.2102803738317757,0.1095041322314049,0.9205607476635514,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTMMCP,P1,1.0,P0,100,43200,6,CooperativeReaching-v0,0,9,9,1.0,0.92274469442792,14.051408767700195,1.5490134027269151,0.0099556446075439,0.0095304118262396,1.1680027114020453,67082.11111111111,0.1411468717787,8.333333333333334,875.6666666666666,299.6796875,0.0,1.0,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0628245067497404,0.1869158878504672,0.0,0.0,0.0373831775700934,0.3411214953271028,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
