env_id,env_args_id,symmetric,seed,num_agents,num_episodes,policy_id,policy_name,policy_version,agent_id,co_team_id,episode_reward_mean,episode_reward_std,num_LOSS,num_DRAW,num_WIN,num_NA
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Random-v0,Random,0,0,(Random),-0.14208141532380664,0.4489731084652814,24,0,0,76
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Random-v0,Random,0,1,(Random),-0.13203405290361814,0.4415738392500705,24,0,0,76
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Random-v0,Random,0,0,(A0Shortestpath),0.04266667933515759,0.2588724345540381,7,0,0,93
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Driving-v1/A0Shortestpath-v0,A0Shortestpath,0,1,(Random),0.8166901616499441,0.5200115061977577,7,0,88,5
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Random-v0,Random,0,0,(A40Shortestpath),0.07786929664538361,0.20140767257463016,4,0,0,96
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Driving-v1/A40Shortestpath-v0,A40Shortestpath,0,1,(Random),0.8588032051282051,0.42937430472885835,4,0,89,7
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Random-v0,Random,0,0,(A60Shortestpath),0.0968802396878484,0.11254788509154592,1,0,0,99
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Driving-v1/A60Shortestpath-v0,A60Shortestpath,0,1,(Random),0.9013043478260869,0.32436385320001354,1,0,91,8
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Random-v0,Random,0,0,(A80Shortestpath),0.0968802396878484,0.11254788509154592,1,0,0,99
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Driving-v1/A80Shortestpath-v0,A80Shortestpath,0,1,(Random),0.9113043478260869,0.3115859789949448,1,0,92,7
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Random-v0,Random,0,0,(A100Shortestpath),0.0968802396878484,0.11254788509154592,1,0,0,99
Driving-v1,grid=14x14RoundAbout-num_agents=2,True,0,2,100,Driving-v1/A100Shortestpath-v0,A100Shortestpath,0,1,(Random),0.9113043478260869,0.3115859789949448,1,0,92,7
